平均心率,59
分类,窦性心律
0.101648,
0.101469,
0.103224,
0.10801,
0.115952,
0.126383,
0.13803,
0.149409,
0.159475,
0.167982,
0.175331,
0.18217,
0.189093,
0.196609,
0.205045,
0.214313,
0.223994,
0.233669,
0.24316,
0.252515,
0.261819,
0.270908,
0.279153,
0.285516,
0.288897,
0.288518,
0.284197,
0.276542,
0.266859,
0.256835,
0.248264,
0.242738,
0.241225,
0.243755,
0.249328,
0.256145,
0.262109,
0.265222,
0.263846,
0.256896,
0.243981,
0.225543,
0.202882,
0.177925,
0.152787,
0.129333,
0.108853,
0.091791,
0.077637,
0.065291,
0.053579,
0.041477,
0.028311,
0.014038,
-0.00064,
-0.01451,
-0.02627,
-0.034992,
-0.040599,
-0.043972,
-0.046585,
-0.04996,
-0.055254,
-0.062975,
-0.07298,
-0.084609,
-0.096734,
-0.10779,
-0.116097,
-0.120415,
-0.120414,
-0.116726,
-0.110635,
-0.103848,
-0.098367,
-0.096098,
-0.098298,
-0.105209,
-0.115913,
-0.128357,
-0.139772,
-0.147507,
-0.149897,
-0.146811,
-0.139579,
-0.130286,
-0.121,
-0.113364,
-0.108396,
-0.106311,
-0.106502,
-0.1079,
-0.109544,
-0.110914,
-0.111896,
-0.112604,
-0.11325,
-0.11393,
-0.114364,
-0.11397,
-0.112265,
-0.109252,
-0.105603,
-0.102474,
-0.101142,
-0.102795,
-0.108242,
-0.117365,
-0.128813,
-0.140318,
-0.149491,
-0.154663,
-0.155366,
-0.152319,
-0.147069,
-0.141513,
-0.137313,
-0.135205,
-0.134754,
-0.134742,
-0.133966,
-0.131896,
-0.128881,
-0.125893,
-0.124081,
-0.124173,
-0.125894,
-0.128027,
-0.129103,
-0.128039,
-0.12441,
-0.118609,
-0.111989,
-0.106646,
-0.10466,
-0.107132,
-0.113639,
-0.122513,
-0.131688,
-0.139435,
-0.144783,
-0.147703,
-0.14891,
-0.149213,
-0.148937,
-0.147768,
-0.144883,
-0.139156,
-0.129578,
-0.116005,
-0.0997,
-0.083131,
-0.069216,
-0.060565,
-0.058866,
-0.064458,
-0.076259,
-0.092182,
-0.109626,
-0.12578,
-0.138106,
-0.144966,
-0.145851,
-0.141208,
-0.132378,
-0.121439,
-0.110644,
-0.10177,
-0.09587,
-0.093371,
-0.094079,
-0.097167,
-0.101457,
-0.105912,
-0.109898,
-0.113043,
-0.115,
-0.115431,
-0.11413,
-0.111162,
-0.107046,
-0.102742,
-0.099351,
-0.097738,
-0.098343,
-0.101103,
-0.105416,
-0.110196,
-0.11416,
-0.116165,
-0.115492,
-0.112158,
-0.107022,
-0.101418,
-0.096595,
-0.093373,
-0.092093,
-0.092732,
-0.094924,
-0.09797,
-0.101039,
-0.103488,
-0.104961,
-0.105293,
-0.104537,
-0.103112,
-0.101671,
-0.100724,
-0.100479,
-0.100903,
-0.101739,
-0.102484,
-0.102538,
-0.101485,
-0.099131,
-0.095294,
-0.08972,
-0.082386,
-0.073726,
-0.064394,
-0.05498,
-0.046047,
-0.038388,
-0.033009,
-0.030791,
-0.032077,
-0.036437,
-0.042645,
-0.048996,
-0.053848,
-0.056175,
-0.055964,
-0.054144,
-0.052045,
-0.050916,
-0.051665,
-0.054683,
-0.05966,
-0.065686,
-0.071725,
-0.076983,
-0.080926,
-0.08333,
-0.084295,
-0.084109,
-0.082948,
-0.080715,
-0.077331,
-0.073189,
-0.069179,
-0.066333,
-0.065484,
-0.066963,
-0.070368,
-0.074601,
-0.078255,
-0.080041,
-0.079002,
-0.07467,
-0.067319,
-0.058038,
-0.048491,
-0.040413,
-0.035021,
-0.032747,
-0.033248,
-0.035511,
-0.038136,
-0.039736,
-0.039196,
-0.035868,
-0.029926,
-0.022572,
-0.015694,
-0.011077,
-0.009834,
-0.012289,
-0.017872,
-0.025078,
-0.032004,
-0.037156,
-0.039812,
-0.039895,
-0.037824,
-0.034609,
-0.031643,
-0.029974,
-0.029933,
-0.031382,
-0.033945,
-0.036978,
-0.039763,
-0.041935,
-0.043575,
-0.044866,
-0.045928,
-0.046943,
-0.048024,
-0.048952,
-0.049121,
-0.047749,
-0.044054,
-0.037306,
-0.027154,
-0.014237,
-0.00028,
0.012573,
0.022473,
0.028254,
0.029637,
0.027282,
0.0225,
0.016667,
0.010842,
0.005724,
0.001632,
-0.001587,
-0.004495,
-0.0077,
-0.011393,
-0.015282,
-0.018871,
-0.021871,
-0.02448,
-0.027188,
-0.030209,
-0.033249,
-0.035722,
-0.037011,
-0.036697,
-0.034789,
-0.031851,
-0.028709,
-0.025966,
-0.023808,
-0.022148,
-0.020778,
-0.019368,
-0.017433,
-0.014537,
-0.010542,
-0.005438,
0.000928,
0.008786,
0.018082,
0.028259,
0.038211,
0.04631,
0.050608,
0.049395,
0.041928,
0.028724,
0.011314,
-0.00804,
-0.026485,
-0.041028,
-0.049404,
-0.050736,
-0.045473,
-0.035056,
-0.021719,
-0.008193,
0.002936,
0.009894,
0.011983,
0.009565,
0.004062,
-0.00232,
-0.007495,
-0.010435,
-0.011319,
-0.01086,
-0.009698,
-0.008327,
-0.007151,
-0.006296,
-0.005469,
-0.004187,
-0.002157,
0.00063,
0.004042,
0.00784,
0.011582,
0.01471,
0.01675,
0.017343,
0.016132,
0.012882,
0.007853,
0.001954,
-0.003518,
-0.007275,
-0.008259,
-0.005852,
-0.00007,
0.008402,
0.018404,
0.028626,
0.037917,
0.045559,
0.051438,
0.055868,
0.059206,
0.061643,
0.063216,
0.064125,
0.065041,
0.066908,
0.070336,
0.075117,
0.080308,
0.084749,
0.087399,
0.087441,
0.084456,
0.078611,
0.070711,
0.062149,
0.054715,
0.050152,
0.049537,
0.052919,
0.059454,
0.067845,
0.076645,
0.084257,
0.088872,
0.088798,
0.083165,
0.072418,
0.058161,
0.04265,
0.028315,
0.017251,
0.010553,
0.00782,
0.007378,
0.007097,
0.005093,
0.000131,
-0.008023,
-0.018415,
-0.029225,
-0.038473,
-0.044614,
-0.046879,
-0.045503,
-0.041714,
-0.037295,
-0.033815,
-0.032034,
-0.031947,
-0.033163,
-0.03516,
-0.037303,
-0.038932,
-0.03953,
-0.038731,
-0.036267,
-0.032069,
-0.026267,
-0.018915,
-0.0099,
0.000863,
0.0133,
0.027489,
0.043923,
0.063285,
0.086026,
0.112222,
0.141658,
0.173744,
0.207273,
0.240489,
0.271271,
0.296971,
0.314395,
0.35168,
0.351245,
0.329521,
0.256545,
0.211946,
0.161146,
0.107808,
0.054531,
0.00264,
-0.047398,
-0.095284,
-0.140392,
-0.181505,
-0.216789,
-0.309796,
-0.292192,
-0.269307,
-0.266529,
-0.255098,
-0.237035,
-0.214412,
-0.188983,
-0.161999,
-0.134258,
-0.106435,
-0.079438,
-0.054328,
-0.031973,
-0.012959,
0.002279,
0.013402,
0.020387,
0.023741,
0.024431,
0.023666,
0.022698,
0.022526,
0.023619,
0.025724,
0.027811,
0.028349,
0.025973,
0.020143,
0.011323,
0.000748,
-0.009851,
-0.018595,
-0.024127,
-0.026,
-0.024524,
-0.020368,
-0.014261,
-0.006833,
0.001541,
0.010698,
0.020422,
0.030254,
0.039577,
0.047772,
0.054355,
0.059118,
0.062256,
0.064351,
0.066175,
0.068437,
0.071484,
0.075046,
0.078321,
0.080535,
0.081468,
0.081525,
0.081514,
0.082458,
0.08529,
0.090342,
0.097064,
0.104297,
0.11082,
0.115758,
0.118836,
0.120519,
0.12193,
0.124403,
0.12886,
0.135492,
0.143862,
0.152895,
0.160885,
0.166153,
0.168023,
0.16714,
0.164993,
0.163317,
0.163745,
0.167398,
0.17448,
0.184163,
0.194742,
0.204053,
0.210207,
0.212428,
0.21161,
0.21011,
0.210826,
0.216208,
0.227513,
0.244404,
0.26516,
0.287443,
0.308897,
0.327423,
0.341662,
0.351534,
0.357937,
0.361836,
0.3638,
0.364233,
0.363627,
0.362425,
0.360827,
0.358878,
0.356539,
0.353508,
0.349123,
0.342784,
0.334482,
0.324654,
0.313844,
0.302823,
0.292755,
0.284875,
0.27987,
0.277636,
0.277523,
0.278519,
0.279247,
0.278179,
0.274016,
0.265841,
0.252944,
0.234853,
0.211762,
0.184644,
0.154909,
0.124219,
0.094548,
0.068098,
0.046734,
0.031291,
0.021567,
0.016866,
0.016326,
0.018796,
0.022767,
0.026675,
0.029223,
0.02933,
0.026081,
0.018956,
0.008096,
-0.005629,
-0.020787,
-0.035536,
-0.047873,
-0.056334,
-0.060711,
-0.061967,
-0.061494,
-0.060334,
-0.058888,
-0.05716,
-0.055068,
-0.052541,
-0.049459,
-0.045729,
-0.041573,
-0.037628,
-0.034647,
-0.033208,
-0.033614,
-0.03587,
-0.039737,
-0.044892,
-0.051028,
-0.057665,
-0.063936,
-0.068904,
-0.072117,
-0.073749,
-0.074323,
-0.074469,
-0.074785,
-0.0756,
-0.076746,
-0.077699,
-0.07793,
-0.07698,
-0.07447,
-0.070436,
-0.06566,
-0.061338,
-0.058403,
-0.05732,
-0.058239,
-0.060906,
-0.064558,
-0.068119,
-0.070627,
-0.071619,
-0.071259,
-0.070309,
-0.069622,
-0.07045,
-0.073403,
-0.078217,
-0.084219,
-0.090604,
-0.096332,
-0.100169,
-0.101221,
-0.09936,
-0.095147,
-0.089502,
-0.083519,
-0.078294,
-0.07457,
-0.072391,
-0.071363,
-0.071029,
-0.070805,
-0.069867,
-0.067512,
-0.063719,
-0.059191,
-0.054939,
-0.051966,
-0.051217,
-0.053334,
-0.058317,
-0.06556,
-0.07426,
-0.083701,
-0.093181,
-0.101974,
-0.109562,
-0.115806,
-0.120854,
-0.124916,
-0.128081,
-0.130309,
-0.131515,
-0.131591,
-0.130464,
-0.128157,
-0.124755,
-0.120358,
-0.115206,
-0.109855,
-0.105043,
-0.101245,
-0.098489,
-0.096598,
-0.095414,
-0.094855,
-0.094922,
-0.095672,
-0.09719,
-0.09949,
-0.102395,
-0.105466,
-0.10798,
-0.109081,
-0.10822,
-0.105592,
-0.10217,
-0.099206,
-0.097608,
-0.097545,
-0.098383,
-0.099013,
-0.098459,
-0.096382,
-0.093184,
-0.089928,
-0.088134,
-0.089224,
-0.0937,
-0.100781,
-0.108719,
-0.115582,
-0.12001,
-0.121497,
-0.120182,
-0.11643,
-0.110529,
-0.102658,
-0.093078,
-0.082434,
-0.072052,
-0.063901,
-0.060024,
-0.061726,
-0.068954,
-0.080182,
-0.092704,
-0.103241,
-0.109013,
-0.108819,
-0.103274,
-0.094273,
-0.084288,
-0.075739,
-0.070344,
-0.068654,
-0.070231,
-0.074314,
-0.08023,
-0.087346,
-0.094887,
-0.101821,
-0.106927,
-0.109139,
-0.108035,
-0.104129,
-0.098687,
-0.093145,
-0.088611,
-0.085748,
-0.084805,
-0.085569,
-0.087279,
-0.088682,
-0.088446,
-0.085843,
-0.081294,
-0.07633,
-0.072975,
-0.072951,
-0.077176,
-0.085576,
-0.097155,
-0.110153,
-0.12227,
-0.131195,
-0.135367,
-0.134523,
-0.129683,
-0.122676,
-0.11545,
-0.109504,
-0.10555,
-0.103592,
-0.103309,
-0.104281,
-0.10592,
-0.107361,
-0.107552,
-0.105629,
-0.101409,
-0.095512,
